,i,p_inh,eff,omega,topol,total_avalanches,avalanche_sizes,avalanche_durations,total_spikes,filename
0,0,0.1,0.1,4.47,small_world,1248,[4 4 1 ... 1 2 1],[3 3 1 ... 1 2 1],2156,data/s0_Wsmall_world_omg4.47_p0.1_eff0.1.pkl
0,0,0.1,0.1,4.47,scale_free,1063,[1 1 1 ... 2 1 1],[1 1 1 ... 1 1 1],1941,data/s0_Wscale_free_omg4.47_p0.1_eff0.1.pkl
0,0,0.1,0.1,15.85,full,2112,[7 1 1 ... 1 4 5],[6 1 1 ... 1 2 2],6914,data/s0_Wfull_omg15.85_p0.1_eff0.1.pkl
0,0,0.1,0.1,15.85,small_world,2116,[2 1 2 ... 2 3 2],[2 1 1 ... 2 2 2],6615,data/s0_Wsmall_world_omg15.85_p0.1_eff0.1.pkl
0,0,0.1,0.1,15.85,scale_free,2102,[ 1  2 15 ...  1  2  3],[ 1  1 10 ...  1  2  3],6927,data/s0_Wscale_free_omg15.85_p0.1_eff0.1.pkl
0,0,0.1,0.28,0.1,full,128,"[   1    1    1    3    1    2    1    3 4657   57   12 1454 1214   18
   11   12    4    2    3    3    1    2    2    4    5    3    6    1
    1 3734   58    1   42  198   74  267 1348 2556   35   21   27    3
    8  132 2454   42   20  126    2    9    2    1    1    1    5    1
    1    3    1    1    1    1    4    1    1    8   14 6073   23   30
 2925    1    7   25    9    2    1    1    5    4    7   22    2   53
    7    1    1    6    2    8    1   11    1    1    1    1    1    1
    2    2    3    7 4031   21    3    2    1    1    1    1    1    1
    1    1    1    1    1    3    1    2    5    3    1    7   20   13
 4978    4]","[  1   1   1   3   1   2   1   2 327  16   4 197 222   6   3   7   1   2
   2   2   1   2   1   2   4   2   4   1   1 257  16   1  12  45  18  55
 114 344  16   6  12   2   4  37 256  14  12  42   1   7   2   1   1   1
   4   1   1   3   1   1   1   1   3   1   1   4   4 591   8  10 331   1
   4   7   3   2   1   1   4   4   6  11   1  24   4   1   1   4   2   6
   1   9   1   1   1   1   1   1   2   1   3   3 248   9   2   2   1   1
   1   1   1   1   1   1   1   1   1   2   1   2   4   2   1   2   7   4
 387   2]",39640,data/s0_Wfull_omg0.1_p0.1_eff0.28.pkl
0,0,0.1,0.28,0.1,small_world,357,"[   6   73   31    1    3    9    5    1    1    2    1    1    1    1
    1    1    1    1    1    1    3    3    1    2    8    6    1    5
    2    3    1   16   35    4    3    7    8    2   34  143 1766   13
   53   15    1    6    7    6    1    2    2    1    1    1    5    4
    3    6    3    1    1    1    2    4    4  143  812  152  392    3
    1  163    1    6    1    8    4    1    2    1    1    1    6    3
    1    1    3    1    1    3    2    3    1    1    2    1    1    3
    2    6    2    4    1    3    2    2    1   28  315  461   14   24
    6    3   15    6    5   11   12   14    8   11   37   19   11   17
    2    2    2    1    1    2    8   15    4   18    1   36    3    2
    7    2    2    1    2    1    6    3    3    2    2    4    3    1
    5    1    4    6    2    2   12  185   22    4    2    1    1    1
    1    1    1    1    1   21   15    2    1    1   13    1    5   53
   11   14   13   44    1    2    1    2    1    2    8    1    3    2
    4    2    2    3    4    1    2    2   10   10    2    2    4    2
    1    3    1    1    1    1    1    2    2    2    2    4    4    1
    1    1    3    3    2    1    1    2    3    6  202   55   57  135
    5    6    2    5    1    1    2   10    2    1    2    6    2    1
    1    1    1    1    1    2    1    1    2    1    1    1    1    1
    1    2    3    2    3    1    3    1    1    1    3    7    2    4
    1    1    1    1    1    1    6    9   10    3    1   21   33  133
    4    1   22    9    6    8   22    1   19    6    3   40    8   19
    1    1    3    1    1    6    1    1    1    2    1    5    1    2
    2    7    1    2    1   33    1    1    1    4    3    1   11    6
    2    4   10   29  449  487  318    1    2    2    5   25   35  317
   11   14   17   80   48    9   12]","[  2  30  14   1   2   6   3   1   1   2   1   1   1   1   1   1   1   1
   1   1   2   3   1   2   4   2   1   2   1   1   1   7  12   3   2   3
   7   1  11  44 268   5  17   6   1   3   5   3   1   2   2   1   1   1
   4   4   3   4   3   1   1   1   1   2   2  50 137  38  80   1   1  45
   1   4   1   6   3   1   1   1   1   1   5   3   1   1   3   1   1   2
   2   1   1   1   1   1   1   2   1   6   1   3   1   3   2   2   1  14
  74 112   5  11   3   2   9   4   2   8   7   7   3   4  14   6   5   9
   1   2   2   1   1   2   7   6   2  11   1  14   2   2   3   1   2   1
   2   1   4   3   2   2   2   3   2   1   3   1   3   5   2   2   7  53
   9   2   2   1   1   1   1   1   1   1   1  11  11   2   1   1   9   1
   4  25   5   5   6  20   1   1   1   2   1   1   6   1   2   1   3   2
   1   1   3   1   2   1   5   6   1   1   2   1   1   2   1   1   1   1
   1   2   1   2   2   3   3   1   1   1   2   3   1   1   1   2   3   3
  47  14  23  43   2   4   1   3   1   1   2   7   1   1   2   4   2   1
   1   1   1   1   1   2   1   1   2   1   1   1   1   1   1   2   3   1
   2   1   3   1   1   1   2   5   1   3   1   1   1   1   1   1   5   5
   6   2   1  11  12  39   2   1  11   4   4   3  12   1   9   2   1  18
   5  11   1   1   2   1   1   5   1   1   1   2   1   4   1   2   2   4
   1   2   1  14   1   1   1   2   2   1   8   6   1   3   6  12  82 122
  83   1   2   2   2  11   9  91   4   5   5  19  17   4   6]",11341,data/s0_Wsmall_world_omg0.1_p0.1_eff0.28.pkl
0,0,0.1,0.28,0.1,scale_free,76,"[   1    1    2    4    1    1    7    2    3    4    1    1    1    3
    1    1    1    1    2    1    1    1    4    1    8    8    1    1
 3801    2    1    1    5    1    1    1    1    1    1 3825   22    5
   18  840  639    1   11   12   85 1354    8    1    1  146   69    2
    3    8    3    2    1    1    1   18    1    1    2    1    1    1
    1    1    2    1    1    1]","[  1   1   2   2   1   1   3   2   1   2   1   1   1   3   1   1   1   1
   2   1   1   1   3   1   5   7   1   1 220   1   1   1   4   1   1   1
   1   1   1 240   6   3   9  91  91   1   7   4  24 130   6   1   1  33
  15   2   2   6   2   2   1   1   1  10   1   1   2   1   1   1   1   1
   1   1   1   1]",16874,data/s0_Wscale_free_omg0.1_p0.1_eff0.28.pkl
0,0,0.1,0.28,0.35,full,262,"[ 154    8    5    1   42    1    1    2    1    2    9    1    1    1
    1    1    1    1    1    1    1    1    1   21   14 4061 2834 1327
  284   44 2718    5    2   19    2    6   11  989   18    4    1    1
    2 3650    2    1    1    2    1   38   13    5    3    1   21    1
    1    2    1    1    2    1    1   12    1    1    1    4    4    2
    7    1    2    7 2295   13   35  394    6  191  106    1    3    1
    5    2    2    2    2    7    1    2   10    5  428   24 5042   23
  329   29    9   20    9   66    8    3   21  119 3082    5   55    1
    1    4    1    6   33   61   16   33   10    1    1    6    1    1
    1    1    1    1    1    1    1    1   12    3    3    1    1    1
    4    1    1    4   15   70 4252   36   22   12    9   25   10    7
    2    1    1    1    1    1    3    3    2    2 5008   27   74   54
   21 1046   33    1    3    4    2    1    1   14   27 1747 1640 1169
   19   11    1    1    3    1    3    1    1   22    5 2181   32    9
    1    1    1    2 2878   12    7    8   17    1    2    6    1    1
    2    1    3    2    4    1   11   21   71   15 3142  475    9    4
    4   17   26    7   47  453 1742    4    2    3    1    3    1    2
    1    2    1    2    1    1    1    1    2    1    2    1    1    1
    1    4    2    5    1    3    6    2    8   31]","[ 39   4   3   1  17   1   1   1   1   2   5   1   1   1   1   1   1   1
   1   1   1   1   1   8   6 354 328 190  71  14 313   2   2   8   1   3
   6 106   7   2   1   1   2 254   2   1   1   1   1  14   8   2   2   1
  12   1   1   2   1   1   2   1   1   7   1   1   1   2   2   1   5   1
   2   4 191   6  12  91   2  41  42   1   2   1   4   2   2   2   1   5
   1   2   4   2  99   8 526   7  68  11   4   8   4  27   5   3  10  26
 274   2  18   1   1   3   1   4  11  18   7  15   4   1   1   4   1   1
   1   1   1   1   1   1   1   1   6   2   2   1   1   1   3   1   1   2
   7  17 407  10   9   5   5   8   4   6   2   1   1   1   1   1   3   2
   1   1 517  13  26  18   6 161  16   1   1   1   1   1   1   7   6 202
 196 134   8   7   1   1   3   1   2   1   1  12   3 262  11   4   1   1
   1   2 287   4   4   4  11   1   2   3   1   1   2   1   3   1   4   1
   7  13  16   5 350  89   5   3   4   8  13   4  15  69 230   3   1   2
   1   3   1   2   1   2   1   2   1   1   1   1   2   1   1   1   1   1
   1   3   1   3   1   3   3   1   4  15]",63436,data/s0_Wfull_omg0.35_p0.1_eff0.28.pkl
0,0,0.1,0.28,0.35,small_world,398,"[   2   17    1   11   27    1    1    1    1    2    1    2    7    1
    3    2    1   10    3    1    1    1    1    1    1    2    3    1
    2    5    5   92   93   15    3    9    3    1    1    1    2    1
   13    1    3    2   39   28    7    4   10   30    2    4    1    1
    5    1    3    2    2    4    5    6    2   10   32    3    7    1
    1    3    1    1    2    2    1    1    9    1   12    8    2    3
    4    9    3  235   29   97    4   23    1    1    6    2    2    1
    1    5    1    2    1    1    1    1    1    1    1    1    1    1
    1    4    3    1    2    3    2    1    1    8   31    2   11    1
    5    1    1    1    1    1    4    1    1    1    1    1    1    3
    1    1    1    6    5   23    8   29    2    1  146   91  532  212
   18    1    1    2    1    1    2    1    2    7    7   10   14    4
    3    3    7    3    1    9   17   84    3    3    8   12    3   15
    9    1    7    1    1    5   11   11    1   19    1    1   15    4
    3    1    1    8    1    1    1    2    2    1    1    1    1    1
    2    2    2    1    1    1    2    1    1    3    1    1    1    1
   16    1    1    5    2    1    5    2    1    1    1   12    2    2
    1    3    2    2  123   54    4   10    8    7   29   10    2    2
    1    1    1    8   18    1    1    3    2    1    4    3    3    2
    1    2    2    3   10    1    3    5    5   10    1    4    4    1
    1    1    2    1    4    1 1319  176    4    4    1    4    3   11
    1    1    2   30    9    6    1    8    1    3    6    1    7    8
    1    4    1    1    1    1    2    1    1    2    1    3    1    1
    1    1    1    1    2    4   10    1    1    2    3    1    3    1
    1    1    1    2    3    1    2    1    1    2   11    5    2    3
    1    1    2    2   13    1    3    3    1    7    5    3    2    2
   77   14    4    1    6    1   18   12   48    1  106  542  184   19
    1   53    8   42    1    7    9   15    2    2    1   11    4    5
    2    1    1    1    1    1]","[  2   8   1   8  15   1   1   1   1   2   1   2   5   1   2   2   1   6
   3   1   1   1   1   1   1   2   3   1   1   3   5  35  32   8   1   7
   2   1   1   1   2   1   8   1   3   2  16  16   3   2   6  15   2   2
   1   1   3   1   3   2   1   3   2   4   2   6  14   2   4   1   1   3
   1   1   2   1   1   1   5   1   8   6   2   2   2   4   2  57  10  35
   2   9   1   1   4   2   2   1   1   4   1   2   1   1   1   1   1   1
   1   1   1   1   1   3   2   1   2   3   2   1   1   5  16   1   8   1
   4   1   1   1   1   1   3   1   1   1   1   1   1   3   1   1   1   4
   2  10   4  10   2   1  37  20  90  62  10   1   1   2   1   1   2   1
   2   6   3   3   5   3   1   2   5   2   1   6   9  36   2   2   6   4
   1   7   4   1   5   1   1   3   6   8   1  11   1   1  11   2   3   1
   1   4   1   1   1   1   2   1   1   1   1   1   1   1   2   1   1   1
   2   1   1   2   1   1   1   1  10   1   1   3   1   1   4   2   1   1
   1  10   2   2   1   3   2   2  42  19   3   5   5   4  14   5   2   1
   1   1   1   5  12   1   1   3   1   1   3   2   3   2   1   1   1   2
   9   1   2   5   3   6   1   2   3   1   1   1   2   1   4   1 168  46
   2   2   1   3   2   7   1   1   2  15   5   5   1   5   1   2   3   1
   4   5   1   4   1   1   1   1   2   1   1   2   1   3   1   1   1   1
   1   1   2   3   8   1   1   2   2   1   3   1   1   1   1   2   2   1
   2   1   1   2   8   3   2   2   1   1   1   1   7   1   3   2   1   6
   3   3   2   1  27   7   3   1   4   1   8   5  19   1  34 155  35   9
   1  15   4  16   1   4   5  12   1   1   1   7   2   3   2   1   1   1
   1   1]",6357,data/s0_Wsmall_world_omg0.35_p0.1_eff0.28.pkl
